simMinute,population,stripEntries,crossings,totalStripEntries,totalCrossings,simTick
1,17,1,0,1,0,2401
2,21,1,1,2,1,4801
3,16,0,0,2,1,7201
4,16,0,0,2,1,9601
5,17,1,1,3,2,12001
6,22,2,1,5,3,14401
7,17,2,2,7,5,16801
8,15,0,0,7,5,19201
9,14,0,0,7,5,21601
10,16,1,1,8,6,24001
11,17,0,0,8,6,26401
12,15,0,0,8,6,28801
13,14,0,0,8,6,31201
14,13,0,0,8,6,33601
15,18,0,0,8,6,36001
16,16,1,1,9,7,38401
17,15,0,0,9,7,40801
18,15,0,0,9,7,43201
19,19,0,0,9,7,45601
20,20,1,1,10,8,48001
21,15,1,1,11,9,50401
22,16,0,0,11,9,52801
23,16,1,1,12,10,55201
24,20,0,0,12,10,57601
25,20,1,1,13,11,60001
26,19,1,1,14,12,62401
27,22,2,1,16,13,64801
28,26,1,2,17,15,67201
29,22,0,0,17,15,69601
30,20,2,2,19,17,72001
31,17,0,0,19,17,74401
32,17,0,0,19,17,76801
33,21,1,1,20,18,79201
34,20,1,1,21,19,81601
35,18,1,1,22,20,84001
36,16,1,0,23,20,86401
37,22,0,0,23,20,88801
38,23,0,0,23,20,91201
39,24,0,0,23,20,93601
40,24,0,0,23,20,96001
41,24,0,0,23,20,98401
42,27,1,0,24,20,100801
43,22,0,0,24,20,103201
44,22,0,0,24,20,105601
45,22,0,0,24,20,108001
46,25,1,0,25,20,110401
47,25,0,0,25,20,112801
48,26,1,1,26,21,115201
49,24,2,1,28,22,117601
50,22,1,0,29,22,120001
51,26,0,0,29,22,122401
52,27,0,0,29,22,124801
53,27,0,0,29,22,127201
54,25,1,0,30,22,129601
55,29,1,0,31,22,132001
56,26,0,0,31,22,134401
57,29,0,0,31,22,136801
58,30,0,0,31,22,139201
59,26,3,0,34,22,141601
60,25,1,0,35,22,144001
61,23,1,1,36,23,146401
62,24,1,1,37,24,148801
63,22,1,1,38,25,151201
64,25,1,0,39,25,153601
65,26,0,0,39,25,156001
66,26,1,0,40,25,158401
67,24,1,1,41,26,160801
68,24,1,1,42,27,163201
69,28,0,0,42,27,165601
70,32,3,3,45,30,168001
71,29,0,0,45,30,170401
72,28,0,0,45,30,172801
73,29,0,0,45,30,175201
74,30,0,0,45,30,177601
75,33,0,0,45,30,180001
76,30,3,3,48,33,182401
77,31,1,1,49,34,184801
78,33,2,1,51,35,187201
79,35,1,1,52,36,189601
80,32,1,0,53,36,192001
81,30,2,1,55,37,194401
82,36,2,1,57,38,196801
83,39,0,0,57,38,199201
84,37,0,0,57,38,201601
85,36,0,0,57,38,204001
86,40,2,1,59,39,206401
87,43,2,1,61,40,208801
88,40,3,1,64,41,211201
89,34,3,1,67,42,213601
90,36,0,0,67,42,216001
91,37,1,0,68,42,218401
92,36,5,3,73,45,220801
93,33,1,0,74,45,223201
94,32,0,0,74,45,225601
95,33,3,1,77,46,228001
96,32,1,1,78,47,230401
97,38,1,0,79,47,232801
98,34,0,0,79,47,235201
